number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.1253022637675276,2026-02-27 17:38:06.489086,2026-02-27 17:38:08.542632,0 days 00:00:02.053546,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.030304512401070748,RandomForest,COMPLETE
1,1.1212307224499,2026-02-27 17:38:08.545646,2026-02-27 17:38:09.635385,0 days 00:00:01.089739,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.02616728346636027,RandomForest,COMPLETE
2,1.1115418681788682,2026-02-27 17:38:09.636369,2026-02-27 17:38:09.654534,0 days 00:00:00.018165,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.14459515655560254,LogisticRegression,COMPLETE
3,1.1233905539878042,2026-02-27 17:38:09.654534,2026-02-27 17:38:09.971285,0 days 00:00:00.316751,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.08590161340565237,GradientBoosting,COMPLETE
4,1.1310773526892781,2026-02-27 17:38:09.972309,2026-02-27 17:38:10.008151,0 days 00:00:00.035842,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.09259700245691554,LogisticRegression,COMPLETE
5,1.100292669858725,2026-02-27 17:38:10.009165,2026-02-27 17:38:12.978679,0 days 00:00:02.969514,,,,,,,,RandomForest,6.0,log2,35.0,11.0,750.0,0.00523218970556823,RandomForest,COMPLETE
6,1.814530691914117,2026-02-27 17:38:12.980186,2026-02-27 17:38:12.990350,0 days 00:00:00.010164,,,,,,29.79454462591363,saga,LogisticRegression,,,,,,1.3729923021836907,LogisticRegression,COMPLETE
7,1.1035748024733534,2026-02-27 17:38:12.990350,2026-02-27 17:38:14.279989,0 days 00:00:01.289639,,,,,,,,RandomForest,8.0,,17.0,26.0,300.0,0.0050543194156945645,RandomForest,COMPLETE
8,1.1119916681361903,2026-02-27 17:38:14.281010,2026-02-27 17:38:17.420676,0 days 00:00:03.139666,,,,,,,,RandomForest,13.0,sqrt,14.0,2.0,800.0,0.021996286654269816,RandomForest,COMPLETE
9,1.129477828082875,2026-02-27 17:38:17.421210,2026-02-27 17:38:17.438446,0 days 00:00:00.017236,,,,,,0.0037961668958008117,lbfgs,LogisticRegression,,,,,,0.09291017424490502,LogisticRegression,COMPLETE
10,1.2225171893675775,2026-02-27 17:38:17.439448,2026-02-27 17:38:19.684338,0 days 00:00:02.244890,0.010260022325256595,10.0,6.0,550.0,0.9883416332150827,,,GradientBoosting,,,,,,0.23110168779711665,GradientBoosting,COMPLETE
11,1.1032024677266534,2026-02-27 17:38:19.685355,2026-02-27 17:38:20.354855,0 days 00:00:00.669500,,,,,,,,RandomForest,9.0,log2,38.0,26.0,150.0,0.007078278054607741,RandomForest,COMPLETE
12,1.1072898108594311,2026-02-27 17:38:20.355854,2026-02-27 17:38:20.871259,0 days 00:00:00.515405,,,,,,,,RandomForest,10.0,log2,40.0,18.0,100.0,0.01737784402252075,RandomForest,COMPLETE
13,1.0995122776422037,2026-02-27 17:38:20.872257,2026-02-27 17:38:23.389230,0 days 00:00:02.516973,,,,,,,,RandomForest,8.0,log2,32.0,30.0,650.0,0.0035807238309110505,RandomForest,COMPLETE
14,1.0995122776422037,2026-02-27 17:38:23.390853,2026-02-27 17:38:25.945253,0 days 00:00:02.554400,,,,,,,,RandomForest,3.0,log2,30.0,30.0,650.0,0.003580723830911027,RandomForest,COMPLETE
