number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.0367856295756301,2026-02-27 23:41:10.161130,2026-02-27 23:41:12.648707,0 days 00:00:02.487577,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.023976438562900357,RandomForest,COMPLETE
1,1.0377190138870893,2026-02-27 23:41:12.651503,2026-02-27 23:41:13.963555,0 days 00:00:01.312052,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.024057414627255212,RandomForest,COMPLETE
2,1.0121763443624654,2026-02-27 23:41:13.964555,2026-02-27 23:41:13.993039,0 days 00:00:00.028484,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.02829834634491342,LogisticRegression,COMPLETE
3,1.02563786997719,2026-02-27 23:41:13.994022,2026-02-27 23:41:14.627972,0 days 00:00:00.633950,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.030987912926201917,GradientBoosting,COMPLETE
4,1.0562380174477597,2026-02-27 23:41:14.629987,2026-02-27 23:41:14.667143,0 days 00:00:00.037156,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.02041178544719666,LogisticRegression,COMPLETE
5,1.0452946358031023,2026-02-27 23:41:14.668255,2026-02-27 23:41:18.266279,0 days 00:00:03.598024,,,,,,,,RandomForest,6.0,log2,35.0,11.0,750.0,0.02576673204960602,RandomForest,COMPLETE
6,1.0079260690809435,2026-02-27 23:41:18.268284,2026-02-27 23:41:18.284601,0 days 00:00:00.016317,,,,,,29.79454462591363,saga,LogisticRegression,,,,,,0.028935334874752066,LogisticRegression,COMPLETE
7,1.0366225067999637,2026-02-27 23:41:18.285724,2026-02-27 23:41:19.802042,0 days 00:00:01.516318,,,,,,,,RandomForest,8.0,,17.0,26.0,300.0,0.024383780108836912,RandomForest,COMPLETE
8,1.0370940962326487,2026-02-27 23:41:19.803547,2026-02-27 23:41:23.658942,0 days 00:00:03.855395,,,,,,,,RandomForest,13.0,sqrt,14.0,2.0,800.0,0.024663736279090725,RandomForest,COMPLETE
9,1.0528215370249678,2026-02-27 23:41:23.659945,2026-02-27 23:41:23.680905,0 days 00:00:00.020960,,,,,,0.0037961668958008117,lbfgs,LogisticRegression,,,,,,0.021780861641103218,LogisticRegression,COMPLETE
10,1.1490563671847847,2026-02-27 23:41:23.680905,2026-02-27 23:41:28.493312,0 days 00:00:04.812407,0.010260022325256595,10.0,6.0,550.0,0.9883416332150827,,,GradientBoosting,,,,,,,,PRUNED
11,1.007929678989008,2026-02-27 23:41:28.494311,2026-02-27 23:41:28.515187,0 days 00:00:00.020876,,,,,,46.0724325540507,saga,LogisticRegression,,,,,,0.02894228823266293,LogisticRegression,COMPLETE
12,1.0079318850396082,2026-02-27 23:41:28.516187,2026-02-27 23:41:28.536599,0 days 00:00:00.020412,,,,,,68.81485068556906,saga,LogisticRegression,,,,,,0.028946517056626153,LogisticRegression,COMPLETE
