number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.050128629031023,2026-02-27 18:17:13.188938,2026-02-27 18:17:17.445215,0 days 00:00:04.256277,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.03507037584251634,RandomForest,COMPLETE
1,1.0507358233003035,2026-02-27 18:17:17.446819,2026-02-27 18:17:19.620303,0 days 00:00:02.173484,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.03513632487336788,RandomForest,COMPLETE
2,1.0242976206726495,2026-02-27 18:17:19.622310,2026-02-27 18:17:19.712221,0 days 00:00:00.089911,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.028341227139481406,LogisticRegression,COMPLETE
3,1.0395818743897127,2026-02-27 18:17:19.713949,2026-02-27 18:17:20.471264,0 days 00:00:00.757315,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.04822500568970488,GradientBoosting,COMPLETE
4,1.0628950508137323,2026-02-27 18:17:20.472960,2026-02-27 18:18:26.717756,0 days 00:01:06.244796,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.016451106045489865,LogisticRegression,COMPLETE
5,1.0665698876596195,2026-02-27 18:18:26.718745,2026-02-27 18:18:31.073156,0 days 00:00:04.354411,,,,,,,,RandomForest,6.0,log2,35.0,11.0,750.0,0.03114352872054201,RandomForest,COMPLETE
6,1.023588002553307,2026-02-27 18:18:31.075169,2026-02-27 18:18:31.096827,0 days 00:00:00.021658,,,,,,29.79454462591363,saga,LogisticRegression,,,,,,0.03573269280015363,LogisticRegression,COMPLETE
7,1.0495149644251804,2026-02-27 18:18:31.097841,2026-02-27 18:18:32.777616,0 days 00:00:01.679775,,,,,,,,RandomForest,8.0,,17.0,26.0,300.0,0.036490486187270035,RandomForest,COMPLETE
8,1.050649314828736,2026-02-27 18:18:32.778761,2026-02-27 18:18:37.061199,0 days 00:00:04.282438,,,,,,,,RandomForest,13.0,sqrt,14.0,2.0,800.0,0.03443001416317499,RandomForest,COMPLETE
9,1.0598650106595284,2026-02-27 18:18:37.062204,2026-02-27 18:18:37.076934,0 days 00:00:00.014730,,,,,,0.0037961668958008117,lbfgs,LogisticRegression,,,,,,0.01762944111613817,LogisticRegression,COMPLETE
10,1.2200527606514355,2026-02-27 18:18:37.077926,2026-02-27 18:18:39.679461,0 days 00:00:02.601535,0.010260022325256595,10.0,6.0,550.0,0.9883416332150827,,,GradientBoosting,,,,,,,,PRUNED
11,1.0236151592268374,2026-02-27 18:18:39.680969,2026-02-27 18:18:39.699550,0 days 00:00:00.018581,,,,,,46.0724325540507,saga,LogisticRegression,,,,,,0.03576944023887404,LogisticRegression,COMPLETE
12,1.0236317612003119,2026-02-27 18:18:39.700555,2026-02-27 18:18:39.717388,0 days 00:00:00.016833,,,,,,68.81485068556906,saga,LogisticRegression,,,,,,0.035791880063272975,LogisticRegression,COMPLETE
13,1.0230045437631083,2026-02-27 18:18:39.718407,2026-02-27 18:18:39.735305,0 days 00:00:00.016898,,,,,,3.0264768457515636,saga,LogisticRegression,,,,,,0.034927539753314384,LogisticRegression,COMPLETE
14,1.0222459531297818,2026-02-27 18:18:39.735305,2026-02-27 18:18:39.755482,0 days 00:00:00.020177,,,,,,1.0862289420171278,saga,LogisticRegression,,,,,,0.033787619187685594,LogisticRegression,COMPLETE
15,1.0223312876444561,2026-02-27 18:18:39.755482,2026-02-27 18:18:39.773233,0 days 00:00:00.017751,,,,,,1.1946914155134625,saga,LogisticRegression,,,,,,0.033924540289109274,LogisticRegression,COMPLETE
16,1.0216524536957818,2026-02-27 18:18:39.774753,2026-02-27 18:18:39.791348,0 days 00:00:00.016595,,,,,,0.5580745250146835,saga,LogisticRegression,,,,,,0.03267780348731296,LogisticRegression,COMPLETE
17,1.3434947421685481,2026-02-27 18:18:39.792387,2026-02-27 18:18:40.742046,0 days 00:00:00.949659,0.28560777949741245,6.0,27.0,350.0,0.8056891692692755,,,GradientBoosting,,,,,,,,PRUNED
18,1.0214335831249859,2026-02-27 18:18:40.743050,2026-02-27 18:18:40.759142,0 days 00:00:00.016092,,,,,,0.19232484810231967,saga,LogisticRegression,,,,,,0.030515854194454704,LogisticRegression,COMPLETE
19,1.0226319874547274,2026-02-27 18:18:40.759142,2026-02-27 18:18:40.782330,0 days 00:00:00.023188,,,,,,0.10110667966085686,lbfgs,LogisticRegression,,,,,,0.029213749458588262,LogisticRegression,COMPLETE
20,1.1100198278537043,2026-02-27 18:18:40.782330,2026-02-27 18:18:41.615324,0 days 00:00:00.832994,0.04815035925095871,2.0,29.0,300.0,0.8066305882008067,,,GradientBoosting,,,,,,,,PRUNED
21,1.0217426076241316,2026-02-27 18:18:41.616330,2026-02-27 18:18:41.635505,0 days 00:00:00.019175,,,,,,0.6207046521404258,saga,LogisticRegression,,,,,,0.03287343609938811,LogisticRegression,COMPLETE
22,1.021613922750841,2026-02-27 18:18:41.636083,2026-02-27 18:18:41.655252,0 days 00:00:00.019169,,,,,,0.5319269285098339,saga,LogisticRegression,,,,,,0.03258811803692298,LogisticRegression,COMPLETE
23,0.9800464779686091,2026-02-27 18:18:41.657256,2026-02-27 18:18:41.668340,0 days 00:00:00.011084,,,,,,0.13230811637591625,saga,LogisticRegression,,,,,,,,PRUNED
