number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.0432893632812106,2026-02-26 19:05:35.059663,2026-02-26 19:05:37.552076,0 days 00:00:02.492413,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.01143291557317258,RandomForest,COMPLETE
1,1.0433151614883562,2026-02-26 19:05:37.552569,2026-02-26 19:05:38.839459,0 days 00:00:01.286890,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.010321194872829667,RandomForest,COMPLETE
2,1.0081991620868496,2026-02-26 19:05:38.839889,2026-02-26 19:05:38.862879,0 days 00:00:00.022990,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.014828867900068567,LogisticRegression,COMPLETE
3,1.049337948144498,2026-02-26 19:05:38.863106,2026-02-26 19:05:40.072210,0 days 00:00:01.209104,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.021725602768782774,GradientBoosting,COMPLETE
4,1.0195470496741275,2026-02-26 19:05:40.072651,2026-02-26 19:05:40.092371,0 days 00:00:00.019720,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.015562542528956502,LogisticRegression,COMPLETE
5,1.047483145958905,2026-02-26 19:05:40.092673,2026-02-26 19:05:43.665502,0 days 00:00:03.572829,,,,,,,,RandomForest,6.0,log2,35.0,11.0,750.0,0.007304402369121258,RandomForest,COMPLETE
6,1.0085102779006192,2026-02-26 19:05:43.665923,2026-02-26 19:05:43.689476,0 days 00:00:00.023553,,,,,,29.79454462591363,saga,LogisticRegression,,,,,,0.014707777153702174,LogisticRegression,COMPLETE
7,1.0477902661849594,2026-02-26 19:05:43.689712,2026-02-26 19:05:45.196517,0 days 00:00:01.506805,,,,,,,,RandomForest,8.0,,17.0,26.0,300.0,0.011945904096239485,RandomForest,COMPLETE
8,1.046259394680213,2026-02-26 19:05:45.196879,2026-02-26 19:05:50.146602,0 days 00:00:04.949723,,,,,,,,RandomForest,13.0,sqrt,14.0,2.0,800.0,0.012596899397343004,RandomForest,COMPLETE
9,1.0172115580490488,2026-02-26 19:05:50.147139,2026-02-26 19:05:50.188805,0 days 00:00:00.041666,,,,,,0.0037961668958008117,lbfgs,LogisticRegression,,,,,,0.015423342522916886,LogisticRegression,COMPLETE
10,1.1772151993074684,2026-02-26 19:05:50.189328,2026-02-26 19:06:07.956860,0 days 00:00:17.767532,0.010260022325256595,10.0,6.0,550.0,0.9883416332150827,,,GradientBoosting,,,,,,,,PRUNED
11,1.008510758883316,2026-02-26 19:06:07.957404,2026-02-26 19:06:07.982835,0 days 00:00:00.025431,,,,,,46.0724325540507,saga,LogisticRegression,,,,,,0.014707623788207936,LogisticRegression,COMPLETE
12,1.0084595585067857,2026-02-26 19:06:07.983086,2026-02-26 19:06:08.010525,0 days 00:00:00.027439,,,,,,0.7435336603337422,saga,LogisticRegression,,,,,,0.014723918409532884,LogisticRegression,COMPLETE
13,1.0083757179469415,2026-02-26 19:06:08.010803,2026-02-26 19:06:08.041984,0 days 00:00:00.031181,,,,,,0.2527775539180305,saga,LogisticRegression,,,,,,0.014752842444951496,LogisticRegression,COMPLETE
14,1.0082937765878892,2026-02-26 19:06:08.042365,2026-02-26 19:06:08.070852,0 days 00:00:00.028487,,,,,,0.13663486378361517,saga,LogisticRegression,,,,,,0.01478317553231271,LogisticRegression,COMPLETE
15,1.008189201933496,2026-02-26 19:06:08.071663,2026-02-26 19:06:08.100574,0 days 00:00:00.028911,,,,,,0.0500831336511717,saga,LogisticRegression,,,,,,0.014847747082995383,LogisticRegression,COMPLETE
16,1.0082184728718737,2026-02-26 19:06:08.100997,2026-02-26 19:06:08.128875,0 days 00:00:00.027878,,,,,,0.039317527829383594,saga,LogisticRegression,,,,,,0.014859041849806413,LogisticRegression,COMPLETE
17,2.127100215905042,2026-02-26 19:06:08.129164,2026-02-26 19:06:11.466055,0 days 00:00:03.336891,0.28560777949741245,6.0,27.0,350.0,0.8056891692692755,,,GradientBoosting,,,,,,,,PRUNED
18,1.0084309656261758,2026-02-26 19:06:11.466935,2026-02-26 19:06:11.491285,0 days 00:00:00.024350,,,,,,0.025359462394081374,saga,LogisticRegression,,,,,,0.01486602901683867,LogisticRegression,COMPLETE
19,0.9958616123098215,2026-02-26 19:06:11.491670,2026-02-26 19:06:11.515399,0 days 00:00:00.023729,,,,,,2.7615159740375086,lbfgs,LogisticRegression,,,,,,,,PRUNED
20,1.0406581424739874,2026-02-26 19:06:11.515859,2026-02-26 19:06:13.094062,0 days 00:00:01.578203,0.04815035925095871,2.0,29.0,300.0,0.8066305882008067,,,GradientBoosting,,,,,,,,PRUNED
21,1.0083250512524935,2026-02-26 19:06:13.094761,2026-02-26 19:06:13.119191,0 days 00:00:00.024430,,,,,,0.029594295246378067,saga,LogisticRegression,,,,,,0.014865781358041199,LogisticRegression,COMPLETE
22,1.0081882410278709,2026-02-26 19:06:13.119549,2026-02-26 19:06:13.145034,0 days 00:00:00.025485,,,,,,0.051839056644911626,saga,LogisticRegression,,,,,,0.014845803137497384,LogisticRegression,COMPLETE
23,1.0082475669251585,2026-02-26 19:06:13.145324,2026-02-26 19:06:13.169220,0 days 00:00:00.023896,,,,,,0.10032951574056978,saga,LogisticRegression,,,,,,0.014802537007380448,LogisticRegression,COMPLETE
24,1.008261078390617,2026-02-26 19:06:13.169714,2026-02-26 19:06:13.192918,0 days 00:00:00.023204,,,,,,0.0339798366287675,saga,LogisticRegression,,,,,,0.014863516498329744,LogisticRegression,COMPLETE
