number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
0,1.0432893632812106,2026-02-26 19:03:35.068691,2026-02-26 19:03:37.710192,0 days 00:00:02.641501,,,,,,,,RandomForest,5.0,sqrt,12.0,3.0,500.0,0.01143291557317258,RandomForest,COMPLETE
1,1.0433151614883562,2026-02-26 19:03:37.710514,2026-02-26 19:03:39.062752,0 days 00:00:01.352238,,,,,,,,RandomForest,5.0,sqrt,13.0,10.0,250.0,0.010321194872829724,RandomForest,COMPLETE
2,1.0081991620868496,2026-02-26 19:03:39.063001,2026-02-26 19:03:39.086538,0 days 00:00:00.023537,,,,,,0.06789053271698488,saga,LogisticRegression,,,,,,0.014828867900068567,LogisticRegression,COMPLETE
3,1.049337948144498,2026-02-26 19:03:39.086721,2026-02-26 19:03:40.272468,0 days 00:00:01.185747,0.07896186801026692,3.0,48.0,100.0,0.6260206371941118,,,GradientBoosting,,,,,,0.021725602768782774,GradientBoosting,COMPLETE
4,1.0195470496741275,2026-02-26 19:03:40.272660,2026-02-26 19:03:40.292048,0 days 00:00:00.019388,,,,,,0.0030786517836196197,lbfgs,LogisticRegression,,,,,,0.015562542528956502,LogisticRegression,COMPLETE
