number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
27,1.0084488345915485,2026-02-26 19:02:41.034497,2026-02-26 19:02:41.060427,0 days 00:00:00.025930,,,,,,0.02465626738426429,lbfgs,LogisticRegression,,,,,,0.014862790525005363,LogisticRegression,COMPLETE
28,1.2539897189258538,2026-02-26 19:02:41.060689,2026-02-26 19:02:46.821576,0 days 00:00:05.760887,0.02559184286777954,7.0,15.0,600.0,0.6856810020208391,,,GradientBoosting,,,,,,,,PRUNED
29,1.001370638040995,2026-02-26 19:02:46.822265,2026-02-26 19:02:46.837445,0 days 00:00:00.015180,,,,,,0.46237137535522355,saga,LogisticRegression,,,,,,,,PRUNED
30,1.057311347117385,2026-02-26 19:02:46.837755,2026-02-26 19:02:47.338860,0 days 00:00:00.501105,,,,,,,,RandomForest,15.0,log2,47.0,19.0,150.0,,,PRUNED
31,1.0082399885878162,2026-02-26 19:02:47.339222,2026-02-26 19:02:47.365188,0 days 00:00:00.025966,,,,,,0.036177301774152,saga,LogisticRegression,,,,,,0.014861846549326818,LogisticRegression,COMPLETE
32,1.0082059315144796,2026-02-26 19:02:47.365436,2026-02-26 19:02:47.393052,0 days 00:00:00.027616,,,,,,0.042033084893536604,saga,LogisticRegression,,,,,,0.014856341927042245,LogisticRegression,COMPLETE
33,1.008197469918396,2026-02-26 19:02:47.393304,2026-02-26 19:02:47.420462,0 days 00:00:00.027158,,,,,,0.044767906261138336,saga,LogisticRegression,,,,,,0.014853460439105919,LogisticRegression,COMPLETE
34,1.0082427186349565,2026-02-26 19:02:47.420717,2026-02-26 19:02:47.447661,0 days 00:00:00.026944,,,,,,0.09703467068486411,saga,LogisticRegression,,,,,,0.014804750081186558,LogisticRegression,COMPLETE
35,1.0087328912752238,2026-02-26 19:02:47.448038,2026-02-26 19:02:47.476855,0 days 00:00:00.028817,,,,,,0.019333613426086305,saga,LogisticRegression,,,,,,0.014862397252320594,LogisticRegression,COMPLETE
36,1.056549716471127,2026-02-26 19:02:47.477114,2026-02-26 19:02:49.058046,0 days 00:00:01.580932,,,,,,,,RandomForest,10.0,,26.0,30.0,550.0,,,PRUNED
37,1.0082563257334545,2026-02-26 19:02:49.058428,2026-02-26 19:02:49.084135,0 days 00:00:00.025707,,,,,,0.1064640635160238,saga,LogisticRegression,,,,,,0.014798650609997112,LogisticRegression,COMPLETE
38,1.1798309598048728,2026-02-26 19:02:49.084362,2026-02-26 19:02:50.749732,0 days 00:00:01.665370,0.11585405659442612,5.0,40.0,200.0,0.9000028383368006,,,GradientBoosting,,,,,,,,PRUNED
39,1.0593428081795784,2026-02-26 19:02:50.750027,2026-02-26 19:02:51.113975,0 days 00:00:00.363948,,,,,,,,RandomForest,3.0,log2,50.0,17.0,100.0,,,PRUNED
40,1.0092840859024044,2026-02-26 19:02:51.114323,2026-02-26 19:02:51.139215,0 days 00:00:00.024892,,,,,,0.014434930772585569,saga,LogisticRegression,,,,,,0.014860875787039792,LogisticRegression,COMPLETE
41,1.0081906392214268,2026-02-26 19:02:51.139460,2026-02-26 19:02:51.168497,0 days 00:00:00.029037,,,,,,0.059972802900513315,saga,LogisticRegression,,,,,,0.014836958071526567,LogisticRegression,COMPLETE
42,1.000896752424745,2026-02-26 19:02:51.168743,2026-02-26 19:02:51.184502,0 days 00:00:00.015759,,,,,,0.10660815865304887,saga,LogisticRegression,,,,,,,,PRUNED
43,1.0082017007079491,2026-02-26 19:02:51.184802,2026-02-26 19:02:51.214564,0 days 00:00:00.029762,,,,,,0.06980397793135333,saga,LogisticRegression,,,,,,0.014827009961035243,LogisticRegression,COMPLETE
44,1.0081908518709315,2026-02-26 19:02:51.214962,2026-02-26 19:02:51.247656,0 days 00:00:00.032694,,,,,,0.06023677306996616,saga,LogisticRegression,,,,,,0.014836678687640477,LogisticRegression,COMPLETE
45,1.0083395400440305,2026-02-26 19:02:51.247982,2026-02-26 19:02:51.279309,0 days 00:00:00.031327,,,,,,0.02886285772625124,saga,LogisticRegression,,,,,,0.014865980605911454,LogisticRegression,COMPLETE
46,1.0010347253042968,2026-02-26 19:02:51.279624,2026-02-26 19:02:51.294477,0 days 00:00:00.014853,,,,,,0.13983936684235335,saga,LogisticRegression,,,,,,,,PRUNED
47,0.9960548143053174,2026-02-26 19:02:51.294739,2026-02-26 19:02:51.317334,0 days 00:00:00.022595,,,,,,0.010541371842522396,lbfgs,LogisticRegression,,,,,,,,PRUNED
48,1.0482899409696866,2026-02-26 19:02:51.317689,2026-02-26 19:02:52.565212,0 days 00:00:01.247523,,,,,,,,RandomForest,11.0,,5.0,20.0,400.0,,,PRUNED
49,1.000756596600902,2026-02-26 19:02:52.565457,2026-02-26 19:02:52.578925,0 days 00:00:00.013468,,,,,,0.08497913296170606,saga,LogisticRegression,,,,,,,,PRUNED
